City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
East Hampton,East Hampton Police Dept,CT,29.0,22.0,25.0,51.0,59.0,23.0,10.0,17.0,6.0,6.0,8.0,5.0,4.0,4.0,4.0,14.0,6.0,3.0,8.0,3.0,6.0,1.0,3.0,8.0,1.0,9.0,11.0,5.0,5.0,3.0,,1,3.0,8.0,1.0,9.0,11.0,5.0,5.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,3.0
East Hartford Police,East Hartford Police,CT,206.0,189.0,,153.0,190.0,220.0,219.0,199.0,194.0,264.0,266.0,214.0,164.0,166.0,161.0,340.0,265.0,171.0,206.0,203.0,177.0,242.0,226.0,224.0,180.0,187.0,173.0,192.0,182.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Haven,East Haven Police Dept,CT,30.0,33.0,37.0,32.0,25.0,57.0,44.0,48.0,37.0,38.0,28.0,38.0,17.0,37.0,87.0,58.0,71.0,66.0,44.0,18.0,31.0,32.0,43.0,50.0,36.0,43.0,24.0,32.0,31.0,33.0,,25,42.0,50.0,35.0,43.0,24.0,32.0,29.0,33.0,25.0,32.0,-7.0,-0.21875,,-1.0,-0.0232558139535,,0.0,0.0,50.0,-1.0,-0.0277777777778,,0.0,0.0,43.0,0.0,0.0,24.0,0.0,0.0,32.0,-2.0,-0.0645161290323,,0.0,0.0,33.0
East Windsor,East Windsor Police Dept,CT,17.0,5.0,15.0,11.0,35.0,24.0,16.0,10.0,8.0,25.0,16.0,15.0,16.0,23.0,24.0,19.0,32.0,20.0,16.0,18.0,23.0,12.0,26.0,16.0,12.0,13.0,14.0,18.0,17.0,24.0,,12,26.0,17.0,12.0,13.0,14.0,18.0,16.0,23.0,16.0,16.0,0.0,0.0,12.0,0.0,0.0,26.0,1.0,0.0625,,0.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0,14.0,0.0,0.0,18.0,-1.0,-0.0588235294118,,-1.0,-0.0416666666667,
Enfield,Enfield Police Dept,CT,41.0,76.0,75.0,58.0,66.0,73.0,70.0,70.0,41.0,62.0,31.0,36.0,58.0,78.0,62.0,62.0,64.0,66.0,57.0,52.0,61.0,94.0,43.0,51.0,48.0,40.0,,30.0,50.0,53.0,,94,62.0,51.0,48.0,,,30.0,50.0,53.0,52.0,75.0,0.0,0.0,94.0,19.0,0.441860465116,,0.0,0.0,51.0,0.0,0.0,48.0,,,,,,,0.0,0.0,30.0,0.0,0.0,50.0,0.0,0.0,53.0
Fairfield,Fairfield Police Dept,CT,29.0,55.0,45.0,51.0,59.0,66.0,44.0,24.0,43.0,58.0,30.0,48.0,36.0,29.0,32.0,23.0,27.0,23.0,41.0,44.0,37.0,36.0,33.0,39.0,37.0,36.0,24.0,33.0,29.0,33.0,,36,33.0,39.0,37.0,35.0,24.0,33.0,28.0,33.0,21.0,38.0,0.0,0.0,36.0,0.0,0.0,33.0,0.0,0.0,39.0,0.0,0.0,37.0,-1.0,-0.0277777777778,,0.0,0.0,24.0,0.0,0.0,33.0,-1.0,-0.0344827586207,,0.0,0.0,33.0
Farmington,Farmington Police Dept,CT,20.0,17.0,14.0,16.0,26.0,21.0,30.0,23.0,14.0,23.0,26.0,14.0,25.0,25.0,12.0,21.0,22.0,16.0,15.0,20.0,9.0,15.0,19.0,10.0,19.0,11.0,16.0,24.0,20.0,20.0,,14,19.0,10.0,17.0,11.0,16.0,24.0,20.0,20.0,7.0,17.0,-1.0,-0.06666666666666667,,0.0,0.0,19.0,0.0,0.0,10.0,-2.0,-0.105263157895,,0.0,0.0,11.0,0.0,0.0,16.0,0.0,0.0,24.0,0.0,0.0,20.0,0.0,0.0,20.0
Glastonbury,Glastonbury Police Dept,CT,27.0,25.0,29.0,20.0,17.0,11.0,19.0,7.0,15.0,8.0,14.0,12.0,10.0,25.0,15.0,4.0,10.0,15.0,9.0,19.0,14.0,16.0,23.0,21.0,23.0,30.0,21.0,22.0,17.0,10.0,,16,23.0,21.0,23.0,29.0,21.0,22.0,17.0,10.0,16.0,,0.0,0.0,16.0,0.0,0.0,23.0,0.0,0.0,21.0,0.0,0.0,23.0,-1.0,-0.0333333333333,,0.0,0.0,21.0,0.0,0.0,22.0,0.0,0.0,17.0,0.0,0.0,10.0
Granby,Granby Police Dept,CT,2.0,4.0,9.0,3.0,6.0,5.0,3.0,4.0,7.0,7.0,4.0,2.0,6.0,7.0,2.0,1.0,2.0,7.0,5.0,7.0,2.0,3.0,9.0,6.0,3.0,4.0,9.0,2.0,5.0,3.0,,3,9.0,6.0,3.0,4.0,9.0,2.0,5.0,3.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0
Greenwich,Greenwich Police Dept,CT,32.0,28.0,32.0,35.0,26.0,39.0,32.0,25.0,31.0,52.0,74.0,68.0,80.0,78.0,64.0,26.0,35.0,16.0,29.0,20.0,18.0,24.0,24.0,15.0,25.0,24.0,27.0,23.0,14.0,18.0,,25,25.0,15.0,23.0,22.0,27.0,23.0,12.0,18.0,11.0,14.0,1.0,0.041666666666666664,,1.0,0.0416666666667,,0.0,0.0,15.0,-2.0,-0.08,,-2.0,-0.0833333333333,,0.0,0.0,27.0,0.0,0.0,23.0,-2.0,-0.142857142857,,0.0,0.0,18.0
