Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,City
Property crime,1019.0,953.0,944.0,1079.0,971.0,856.0,963.0,1002.0,848.0,625.0,621.0,Norwich
Arson,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,Old Saybrook
Violent crime,4,1.0,4.0,6.0,,8.0,9.0,7.0,12.0,12.0,1.0,Old Saybrook
Murder,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,Old Saybrook
Aggravated assault,0.0,1.0,3.0,4.0,,5.0,9.0,5.0,12.0,11.0,1.0,Old Saybrook
Robbery,4.0,0.0,1.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,Old Saybrook
Burglary,25.0,16.0,24.0,25.0,,21.0,7.0,11.0,8.0,3.0,2.0,Old Saybrook
Motor vehicle theft theft,9.0,1.0,6.0,9.0,,5.0,3.0,3.0,2.0,2.0,1.0,Old Saybrook
Larceny-theft,235.0,220.0,187.0,194.0,,143.0,152.0,98.0,144.0,104.0,114.0,Old Saybrook
Rape,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,Old Saybrook
Property crime,269.0,237.0,217.0,228.0,,169.0,162.0,112.0,154.0,109.0,117.0,Old Saybrook
Arson,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,1.0,0.0,1.0,Orange
Violent crime,6,8.0,4.0,10.0,,4.0,7.0,10.0,9.0,7.0,9.0,Orange
Murder,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,Orange
Aggravated assault,2.0,1.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,Orange
Robbery,3.0,7.0,3.0,10.0,,3.0,5.0,9.0,5.0,6.0,6.0,Orange
Burglary,51.0,43.0,45.0,50.0,,61.0,33.0,25.0,32.0,55.0,39.0,Orange
Motor vehicle theft theft,19.0,14.0,8.0,10.0,,16.0,11.0,14.0,22.0,13.0,18.0,Orange
Larceny-theft,326.0,423.0,420.0,387.0,,329.0,332.0,290.0,301.0,324.0,285.0,Orange
Rape,1.0,0.0,0.0,0.0,,1.0,2.0,0.0,1.0,1.0,2.0,Orange
Property crime,396.0,480.0,473.0,447.0,,406.0,376.0,329.0,355.0,392.0,342.0,Orange
Arson,2.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,Plainfield
Violent crime,9,21.0,13.0,7.0,6.0,7.0,14.0,15.0,13.0,18.0,14.0,Plainfield
Murder,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Plainfield
Aggravated assault,6.0,14.0,10.0,5.0,3.0,4.0,6.0,10.0,11.0,7.0,3.0,Plainfield
Robbery,1.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,Plainfield
Burglary,29.0,38.0,36.0,46.0,27.0,18.0,36.0,6.0,5.0,14.0,18.0,Plainfield
Motor vehicle theft theft,20.0,13.0,17.0,4.0,2.0,4.0,13.0,16.0,4.0,7.0,8.0,Plainfield
Larceny-theft,76.0,60.0,77.0,47.0,24.0,28.0,72.0,87.0,92.0,63.0,35.0,Plainfield
Rape,2.0,4.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,10.0,7.0,Plainfield
Property crime,125.0,111.0,130.0,97.0,53.0,50.0,121.0,109.0,101.0,84.0,61.0,Plainfield
Arson,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,Plainville
Violent crime,19,24.0,17.0,12.0,54.0,64.0,44.0,45.0,39.0,33.0,31.0,Plainville
Murder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Plainville
Aggravated assault,10.0,11.0,6.0,3.0,43.0,57.0,40.0,25.0,24.0,27.0,21.0,Plainville
Robbery,9.0,13.0,11.0,6.0,11.0,5.0,4.0,12.0,7.0,4.0,6.0,Plainville
Burglary,65.0,77.0,83.0,89.0,59.0,57.0,145.0,76.0,84.0,51.0,45.0,Plainville
Motor vehicle theft theft,27.0,32.0,39.0,37.0,25.0,22.0,38.0,16.0,23.0,15.0,26.0,Plainville
Larceny-theft,552.0,495.0,515.0,540.0,512.0,462.0,482.0,396.0,370.0,410.0,419.0,Plainville
Rape,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,8.0,2.0,3.0,Plainville
Property crime,644.0,604.0,637.0,666.0,596.0,541.0,665.0,488.0,477.0,476.0,490.0,Plainville
Arson,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Portland
Violent crime,,4.0,6.0,10.0,12.0,5.0,10.0,10.0,3.0,3.0,9.0,Portland
Murder,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portland
Aggravated assault,,0.0,2.0,7.0,11.0,5.0,8.0,10.0,3.0,2.0,7.0,Portland
Robbery,,4.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,Portland
Burglary,,21.0,27.0,13.0,22.0,18.0,21.0,9.0,20.0,13.0,11.0,Portland
Motor vehicle theft theft,,3.0,3.0,6.0,11.0,7.0,3.0,5.0,3.0,4.0,6.0,Portland
Larceny-theft,,67.0,62.0,63.0,38.0,59.0,52.0,29.0,40.0,55.0,62.0,Portland
Rape,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Portland
Property crime,,91.0,92.0,82.0,71.0,84.0,76.0,43.0,63.0,72.0,79.0,Portland
Arson,3.0,6.0,2.0,1.0,6.0,2.0,3.0,3.0,1.0,2.0,0.0,Putnam
Violent crime,23,22.0,24.0,28.0,30.0,45.0,29.0,26.0,29.0,25.0,25.0,Putnam
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Putnam
Aggravated assault,17.0,13.0,14.0,16.0,24.0,40.0,20.0,19.0,15.0,17.0,18.0,Putnam
Robbery,4.0,6.0,3.0,5.0,3.0,2.0,3.0,2.0,8.0,5.0,3.0,Putnam
Burglary,47.0,29.0,27.0,33.0,32.0,32.0,51.0,29.0,31.0,22.0,19.0,Putnam
Motor vehicle theft theft,9.0,8.0,10.0,8.0,5.0,6.0,7.0,7.0,8.0,1.0,5.0,Putnam
Larceny-theft,174.0,180.0,146.0,126.0,139.0,127.0,142.0,141.0,125.0,70.0,88.0,Putnam
Rape,2.0,3.0,7.0,7.0,3.0,3.0,6.0,5.0,6.0,3.0,4.0,Putnam
Property crime,230.0,217.0,183.0,167.0,176.0,165.0,200.0,177.0,164.0,93.0,112.0,Putnam
Arson,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Redding
Violent crime,1,1.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,0.0,1.0,Redding
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Redding
Aggravated assault,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0,Redding
Robbery,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Redding
Burglary,6.0,13.0,7.0,9.0,15.0,7.0,8.0,13.0,13.0,15.0,11.0,Redding
Motor vehicle theft theft,0.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,Redding
Larceny-theft,53.0,34.0,44.0,38.0,59.0,52.0,47.0,32.0,27.0,48.0,26.0,Redding
Rape,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Redding
Property crime,59.0,49.0,51.0,48.0,75.0,59.0,59.0,45.0,41.0,64.0,38.0,Redding
Arson,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Ridgefield
Violent crime,2,3.0,3.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,Ridgefield
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ridgefield
Aggravated assault,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,Ridgefield
Robbery,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Ridgefield
Burglary,10.0,15.0,16.0,7.0,6.0,12.0,10.0,7.0,3.0,14.0,7.0,Ridgefield
Motor vehicle theft theft,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,Ridgefield
Larceny-theft,72.0,76.0,67.0,60.0,77.0,55.0,77.0,69.0,61.0,90.0,63.0,Ridgefield
Rape,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ridgefield
Property crime,83.0,93.0,83.0,67.0,84.0,67.0,88.0,76.0,65.0,105.0,72.0,Ridgefield
Arson,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,Rocky Hill
Violent crime,,17.0,7.0,11.0,10.0,6.0,3.0,9.0,2.0,3.0,9.0,Rocky Hill
Murder,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rocky Hill
Aggravated assault,,12.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,Rocky Hill
Robbery,,5.0,3.0,7.0,4.0,3.0,1.0,7.0,2.0,3.0,4.0,Rocky Hill
Burglary,,32.0,25.0,48.0,34.0,28.0,33.0,27.0,49.0,27.0,28.0,Rocky Hill
Motor vehicle theft theft,,30.0,16.0,11.0,17.0,2.0,9.0,15.0,14.0,12.0,22.0,Rocky Hill
Larceny-theft,,257.0,220.0,248.0,238.0,236.0,234.0,256.0,314.0,310.0,239.0,Rocky Hill
Rape,,0.0,4.0,1.0,4.0,1.0,2.0,,0.0,0.0,4.0,Rocky Hill
Property crime,,319.0,261.0,307.0,289.0,266.0,276.0,298.0,377.0,349.0,289.0,Rocky Hill
Arson,4.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,Seymour
Violent crime,31,45.0,35.0,17.0,20.0,15.0,10.0,16.0,13.0,12.0,7.0,Seymour
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seymour
Aggravated assault,21.0,36.0,18.0,7.0,14.0,9.0,6.0,6.0,4.0,5.0,4.0,Seymour
Robbery,5.0,1.0,4.0,3.0,3.0,4.0,2.0,6.0,5.0,6.0,1.0,Seymour
Burglary,51.0,48.0,31.0,66.0,46.0,59.0,45.0,69.0,47.0,20.0,42.0,Seymour
Motor vehicle theft theft,18.0,15.0,17.0,10.0,19.0,8.0,10.0,17.0,13.0,20.0,17.0,Seymour
Larceny-theft,165.0,161.0,174.0,149.0,124.0,162.0,106.0,146.0,98.0,123.0,119.0,Seymour
Rape,5.0,8.0,13.0,7.0,3.0,2.0,2.0,4.0,4.0,1.0,2.0,Seymour
Property crime,234.0,224.0,222.0,225.0,189.0,229.0,161.0,232.0,158.0,163.0,178.0,Seymour
Arson,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Shelton
Violent crime,20,24.0,19.0,31.0,28.0,27.0,22.0,18.0,23.0,31.0,28.0,Shelton
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Shelton
Aggravated assault,7.0,8.0,9.0,11.0,12.0,15.0,3.0,8.0,4.0,10.0,9.0,Shelton
Robbery,11.0,12.0,7.0,18.0,11.0,10.0,12.0,7.0,15.0,12.0,15.0,Shelton
Burglary,88.0,100.0,116.0,97.0,115.0,131.0,134.0,111.0,97.0,87.0,134.0,Shelton
Motor vehicle theft theft,62.0,58.0,52.0,52.0,40.0,44.0,33.0,40.0,25.0,30.0,49.0,Shelton
Larceny-theft,299.0,363.0,395.0,346.0,333.0,349.0,265.0,296.0,266.0,308.0,252.0,Shelton
Rape,2.0,4.0,3.0,2.0,5.0,2.0,7.0,3.0,3.0,8.0,4.0,Shelton
Property crime,449.0,521.0,563.0,495.0,488.0,524.0,432.0,447.0,388.0,425.0,435.0,Shelton
Arson,2.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,Simsbury
Violent crime,5,6.0,4.0,3.0,6.0,6.0,7.0,6.0,6.0,3.0,7.0,Simsbury
Murder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Simsbury
Aggravated assault,1.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,Simsbury
Robbery,4.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,Simsbury
Burglary,16.0,31.0,31.0,36.0,20.0,20.0,25.0,24.0,33.0,12.0,42.0,Simsbury
Motor vehicle theft theft,4.0,24.0,5.0,9.0,6.0,5.0,4.0,6.0,11.0,10.0,8.0,Simsbury
Larceny-theft,123.0,186.0,191.0,156.0,154.0,156.0,147.0,128.0,109.0,109.0,116.0,Simsbury
Rape,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,Simsbury
Property crime,143.0,241.0,227.0,201.0,180.0,181.0,176.0,158.0,153.0,131.0,166.0,Simsbury
Arson,,11.0,12.0,9.0,6.0,4.0,7.0,8.0,4.0,2.0,2.0,Southington
Violent crime,,52.0,17.0,23.0,26.0,29.0,28.0,34.0,33.0,22.0,41.0,Southington
Murder,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Southington
Aggravated assault,,19.0,5.0,8.0,9.0,6.0,11.0,7.0,7.0,8.0,6.0,Southington
Robbery,,18.0,5.0,11.0,12.0,13.0,11.0,15.0,14.0,7.0,20.0,Southington
Burglary,,166.0,238.0,107.0,124.0,124.0,130.0,139.0,121.0,135.0,105.0,Southington
Motor vehicle theft theft,,50.0,49.0,40.0,51.0,26.0,36.0,42.0,35.0,39.0,67.0,Southington
Larceny-theft,,648.0,645.0,612.0,558.0,620.0,585.0,614.0,650.0,549.0,770.0,Southington
Rape,,15.0,7.0,4.0,5.0,9.0,5.0,12.0,12.0,7.0,15.0,Southington
Property crime,,864.0,932.0,759.0,733.0,770.0,751.0,795.0,806.0,723.0,942.0,Southington
Arson,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,11.0,108.0,South Windsor
Violent crime,15,23.0,14.0,9.0,4.0,16.0,9.0,13.0,9.0,17.0,4.0,South Windsor
Murder,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Windsor
Aggravated assault,6.0,12.0,4.0,4.0,2.0,5.0,4.0,3.0,1.0,10.0,1.0,South Windsor
Robbery,5.0,5.0,7.0,2.0,1.0,4.0,2.0,6.0,3.0,3.0,1.0,South Windsor
Burglary,82.0,88.0,53.0,62.0,56.0,78.0,48.0,61.0,60.0,37.0,58.0,South Windsor
Motor vehicle theft theft,19.0,15.0,19.0,14.0,15.0,13.0,17.0,10.0,15.0,11.0,26.0,South Windsor
Larceny-theft,322.0,413.0,358.0,353.0,337.0,335.0,307.0,316.0,276.0,236.0,271.0,South Windsor
Rape,4.0,5.0,3.0,3.0,1.0,7.0,3.0,,5.0,4.0,2.0,South Windsor
Property crime,423.0,516.0,430.0,429.0,408.0,426.0,372.0,387.0,351.0,284.0,355.0,South Windsor
Arson,,11.0,8.0,8.0,10.0,4.0,10.0,5.0,15.0,4.0,4.0,Stamford
Violent crime,,336.0,390.0,353.0,351.0,389.0,351.0,334.0,306.0,285.0,351.0,Stamford
Murder,,3.0,5.0,2.0,2.0,6.0,5.0,1.0,2.0,3.0,2.0,Stamford
Aggravated assault,,171.0,186.0,169.0,178.0,161.0,176.0,145.0,137.0,171.0,201.0,Stamford
Robbery,,129.0,172.0,151.0,152.0,190.0,145.0,160.0,146.0,92.0,119.0,Stamford
Burglary,,332.0,325.0,370.0,348.0,282.0,290.0,354.0,275.0,200.0,268.0,Stamford
Motor vehicle theft theft,,234.0,216.0,173.0,192.0,207.0,170.0,149.0,204.0,160.0,192.0,Stamford
Larceny-theft,,1316.0,1590.0,1600.0,1429.0,1498.0,1472.0,1435.0,1554.0,1509.0,1613.0,Stamford
Rape,,33.0,27.0,31.0,19.0,32.0,25.0,28.0,21.0,19.0,29.0,Stamford
Property crime,,1882.0,2131.0,2143.0,1969.0,1987.0,1932.0,1938.0,2033.0,1869.0,2073.0,Stamford
Arson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,Stonington
Violent crime,6,3.0,7.0,11.0,8.0,12.0,11.0,10.0,16.0,19.0,13.0,Stonington
Murder,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stonington
Aggravated assault,1.0,3.0,5.0,3.0,2.0,4.0,7.0,4.0,9.0,10.0,10.0,Stonington
Robbery,5.0,0.0,1.0,4.0,5.0,3.0,1.0,2.0,6.0,8.0,1.0,Stonington
Burglary,34.0,6.0,19.0,28.0,41.0,52.0,66.0,92.0,46.0,42.0,55.0,Stonington
Motor vehicle theft theft,7.0,0.0,3.0,7.0,4.0,5.0,7.0,8.0,5.0,4.0,8.0,Stonington
Larceny-theft,284.0,335.0,307.0,223.0,222.0,255.0,257.0,300.0,264.0,222.0,189.0,Stonington
Rape,0.0,0.0,0.0,4.0,1.0,5.0,3.0,4.0,1.0,1.0,2.0,Stonington
Property crime,325.0,341.0,329.0,258.0,267.0,312.0,330.0,400.0,315.0,268.0,252.0,Stonington
Arson,2.0,2.0,20.0,8.0,8.0,7.0,9.0,2.0,4.0,6.0,4.0,Stratford
Violent crime,98,116.0,144.0,162.0,148.0,146.0,104.0,74.0,64.0,69.0,67.0,Stratford
Murder,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Stratford
Aggravated assault,35.0,55.0,79.0,77.0,89.0,77.0,61.0,25.0,12.0,26.0,27.0,Stratford
Robbery,58.0,58.0,59.0,74.0,43.0,59.0,28.0,41.0,45.0,31.0,34.0,Stratford
Burglary,209.0,209.0,208.0,215.0,188.0,309.0,245.0,251.0,224.0,181.0,177.0,Stratford
Motor vehicle theft theft,262.0,202.0,181.0,153.0,120.0,128.0,98.0,136.0,125.0,165.0,116.0,Stratford
Larceny-theft,1070.0,1128.0,1159.0,1057.0,1004.0,1104.0,1070.0,1042.0,961.0,829.0,867.0,Stratford
Rape,5.0,3.0,4.0,11.0,15.0,9.0,15.0,8.0,7.0,12.0,6.0,Stratford
Property crime,1541.0,1539.0,1548.0,1425.0,1312.0,1541.0,1413.0,1429.0,1310.0,1175.0,1160.0,Stratford
Arson,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,Suffield
Violent crime,,2.0,9.0,13.0,2.0,2.0,4.0,6.0,8.0,1.0,9.0,Suffield
Murder,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Suffield
Aggravated assault,,1.0,6.0,5.0,2.0,2.0,3.0,2.0,4.0,1.0,6.0,Suffield
Robbery,,1.0,2.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,Suffield
Burglary,,72.0,46.0,88.0,50.0,33.0,25.0,26.0,18.0,22.0,23.0,Suffield
Motor vehicle theft theft,,8.0,8.0,11.0,5.0,4.0,1.0,6.0,4.0,8.0,8.0,Suffield
Larceny-theft,,107.0,70.0,63.0,66.0,58.0,105.0,66.0,53.0,65.0,65.0,Suffield
Rape,,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,Suffield
Property crime,,187.0,124.0,162.0,121.0,95.0,131.0,98.0,75.0,95.0,96.0,Suffield
Arson,,9.0,7.0,0.0,2.0,5.0,4.0,1.0,3.0,4.0,3.0,Torrington
Violent crime,,53.0,54.0,70.0,51.0,61.0,51.0,59.0,44.0,47.0,62.0,Torrington
Murder,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,Torrington
Aggravated assault,,31.0,31.0,48.0,21.0,30.0,22.0,33.0,31.0,20.0,41.0,Torrington
Robbery,,12.0,11.0,8.0,10.0,14.0,11.0,11.0,7.0,15.0,16.0,Torrington
Burglary,,120.0,156.0,119.0,140.0,146.0,111.0,94.0,101.0,108.0,77.0,Torrington
Motor vehicle theft theft,,35.0,38.0,28.0,19.0,21.0,20.0,34.0,22.0,29.0,17.0,Torrington
Larceny-theft,,485.0,540.0,618.0,703.0,584.0,711.0,728.0,506.0,531.0,482.0,Torrington
Rape,,10.0,11.0,14.0,20.0,17.0,18.0,15.0,4.0,11.0,5.0,Torrington
Property crime,,640.0,734.0,765.0,862.0,751.0,842.0,856.0,629.0,668.0,576.0,Torrington
Arson,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,Trumbull
Violent crime,14,22.0,21.0,23.0,21.0,20.0,14.0,9.0,29.0,32.0,42.0,Trumbull
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trumbull
Aggravated assault,2.0,5.0,6.0,5.0,10.0,6.0,3.0,0.0,7.0,9.0,8.0,Trumbull
Robbery,9.0,14.0,15.0,13.0,8.0,14.0,11.0,9.0,16.0,17.0,23.0,Trumbull
Burglary,62.0,43.0,61.0,108.0,51.0,69.0,52.0,84.0,76.0,82.0,77.0,Trumbull
Motor vehicle theft theft,48.0,54.0,44.0,80.0,35.0,23.0,30.0,31.0,27.0,24.0,23.0,Trumbull
Larceny-theft,436.0,537.0,637.0,610.0,609.0,598.0,449.0,433.0,492.0,744.0,796.0,Trumbull
Rape,3.0,3.0,0.0,5.0,3.0,0.0,0.0,0.0,6.0,6.0,11.0,Trumbull
Property crime,546.0,634.0,742.0,798.0,695.0,690.0,531.0,548.0,595.0,850.0,896.0,Trumbull
Arson,,5.0,1.0,7.0,12.0,1.0,2.0,3.0,2.0,1.0,1.0,Vernon
Violent crime,,61.0,27.0,31.0,28.0,30.0,46.0,47.0,33.0,29.0,20.0,Vernon
Murder,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vernon
Aggravated assault,,35.0,12.0,16.0,12.0,15.0,34.0,26.0,12.0,15.0,12.0,Vernon
Robbery,,20.0,10.0,9.0,11.0,8.0,7.0,13.0,11.0,11.0,6.0,Vernon
Burglary,,87.0,68.0,105.0,66.0,67.0,65.0,64.0,99.0,55.0,51.0,Vernon
Motor vehicle theft theft,,38.0,28.0,27.0,18.0,33.0,9.0,16.0,32.0,31.0,32.0,Vernon
Larceny-theft,,206.0,235.0,244.0,190.0,206.0,237.0,186.0,200.0,273.0,256.0,Vernon
Rape,,4.0,5.0,5.0,5.0,7.0,5.0,8.0,10.0,3.0,1.0,Vernon
Property crime,,331.0,331.0,376.0,274.0,306.0,311.0,266.0,331.0,359.0,339.0,Vernon
Arson,4.0,5.0,2.0,5.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,Wallingford
Violent crime,37,33.0,23.0,22.0,31.0,28.0,15.0,17.0,23.0,40.0,24.0,Wallingford
Murder,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,Wallingford
Aggravated assault,12.0,14.0,13.0,11.0,12.0,9.0,3.0,4.0,16.0,20.0,16.0,Wallingford
Robbery,18.0,7.0,4.0,4.0,15.0,15.0,10.0,7.0,6.0,15.0,4.0,Wallingford
Burglary,115.0,119.0,131.0,90.0,101.0,126.0,161.0,77.0,95.0,145.0,170.0,Wallingford
Motor vehicle theft theft,55.0,50.0,35.0,39.0,29.0,36.0,25.0,27.0,23.0,20.0,25.0,Wallingford
Larceny-theft,732.0,660.0,636.0,646.0,646.0,691.0,728.0,531.0,490.0,432.0,446.0,Wallingford
Rape,7.0,12.0,6.0,7.0,4.0,2.0,2.0,5.0,1.0,5.0,2.0,Wallingford
Property crime,902.0,829.0,802.0,775.0,776.0,853.0,914.0,635.0,608.0,597.0,641.0,Wallingford
Arson,20.0,2.0,0.0,0.0,3.0,3.0,8.0,2.0,8.0,14.0,24.0,Waterbury
Violent crime,408,390.0,384.0,375.0,366.0,359.0,328.0,410.0,408.0,467.0,550.0,Waterbury
Murder,7.0,3.0,5.0,6.0,5.0,7.0,5.0,5.0,7.0,4.0,10.0,Waterbury
Aggravated assault,146.0,167.0,190.0,180.0,179.0,160.0,131.0,161.0,147.0,174.0,295.0,Waterbury
Robbery,216.0,202.0,170.0,174.0,176.0,183.0,185.0,242.0,220.0,257.0,216.0,Waterbury
Burglary,1045.0,872.0,651.0,749.0,781.0,818.0,662.0,566.0,460.0,522.0,755.0,Waterbury
Motor vehicle theft theft,620.0,532.0,432.0,464.0,424.0,427.0,513.0,689.0,709.0,809.0,733.0,Waterbury
Larceny-theft,4374.0,4299.0,4575.0,4422.0,3441.0,3326.0,3538.0,3381.0,3422.0,3193.0,2711.0,Waterbury
Rape,39.0,18.0,19.0,15.0,6.0,9.0,7.0,,34.0,32.0,29.0,Waterbury
Property crime,6039.0,5703.0,5658.0,5635.0,4646.0,4571.0,4713.0,4636.0,4591.0,4524.0,4199.0,Waterbury
Arson,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,Waterford
Violent crime,37,37.0,58.0,51.0,48.0,52.0,45.0,41.0,65.0,56.0,40.0,Waterford
Murder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Waterford
Aggravated assault,24.0,26.0,48.0,38.0,39.0,50.0,38.0,35.0,46.0,40.0,24.0,Waterford
Robbery,10.0,7.0,6.0,10.0,5.0,1.0,6.0,6.0,10.0,8.0,7.0,Waterford
Burglary,45.0,54.0,50.0,51.0,57.0,46.0,55.0,72.0,37.0,29.0,41.0,Waterford
Motor vehicle theft theft,14.0,16.0,14.0,9.0,4.0,5.0,9.0,7.0,4.0,14.0,20.0,Waterford
Larceny-theft,453.0,487.0,432.0,542.0,435.0,434.0,451.0,421.0,389.0,360.0,377.0,Waterford
Rape,3.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,9.0,8.0,9.0,Waterford
Property crime,512.0,557.0,496.0,602.0,496.0,485.0,515.0,500.0,430.0,403.0,438.0,Waterford
Arson,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Watertown
Violent crime,16,45.0,49.0,36.0,29.0,37.0,25.0,32.0,31.0,24.0,21.0,Watertown
Murder,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Watertown
Aggravated assault,15.0,38.0,41.0,25.0,23.0,27.0,16.0,25.0,20.0,15.0,8.0,Watertown
Robbery,0.0,7.0,4.0,5.0,3.0,7.0,3.0,3.0,7.0,6.0,12.0,Watertown
Burglary,94.0,44.0,62.0,65.0,71.0,88.0,86.0,60.0,72.0,72.0,75.0,Watertown
Motor vehicle theft theft,24.0,27.0,9.0,8.0,15.0,23.0,22.0,43.0,18.0,24.0,32.0,Watertown
Larceny-theft,317.0,289.0,282.0,288.0,313.0,337.0,412.0,298.0,389.0,357.0,328.0,Watertown
Rape,1.0,0.0,4.0,6.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,Watertown
Property crime,435.0,360.0,353.0,361.0,399.0,448.0,520.0,401.0,479.0,453.0,435.0,Watertown
Arson,0.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,West Hartford
Violent crime,110,83.0,104.0,84.0,61.0,68.0,46.0,45.0,49.0,55.0,40.0,West Hartford
Murder,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,West Hartford
Aggravated assault,50.0,27.0,38.0,37.0,14.0,17.0,9.0,8.0,10.0,8.0,0.0,West Hartford
Robbery,59.0,53.0,62.0,40.0,44.0,46.0,35.0,35.0,37.0,45.0,38.0,West Hartford
